Id,SalePrice
1461,125633.55
1462,156759.53
1463,193533.19
1464,189448.66
1465,178954.83
1466,174262.75
1467,169059.22
1468,171249.77
1469,179381.58
1470,126320.54
1471,192447.14
1472,94978.06
1473,103851.07
1474,150774.44
1475,128722.164
1476,393381.28
1477,259121.73
1478,293681.97
1479,250215.8
1480,497754.4
1481,316783.6
1482,205007.34
1483,165556.5
1484,162498.3
1485,176239.27
1486,192963.56
1487,325985.12
1488,230384.31
1489,211340.02
1490,224324.36
1491,187099.58
1492,86576.88
1493,193181.02
1494,297332.88
1495,273232.22
1496,234823.78
1497,185386.75
1498,161819.9
1499,158225.9
1500,155289.34
1501,175762.78
1502,155300.33
1503,311778.78
1504,227295.98
1505,228538.83
1506,179237.78
1507,248399.28
1508,197782.27
1509,162077.39
1510,145412.23
1511,139642.52
1512,173030.95
1513,151330.16
1514,156216.12
1515,202219.12
1516,162230.67
1517,154443.67
1518,131867.75
1519,231966.1
1520,137177.77
1521,138062.42
1522,165708.66
1523,111334.66
1524,121135.2
1525,122630.51
1526,119107.664
1527,103010.516
1528,130604.69
1529,150939.23
1530,173155.78
1531,108968.44
1532,94487.1
1533,144546.67
1534,118802.13
1535,153891.34
1536,111475.15
1537,69638.445
1538,161501.4
1539,211409.03
1540,102784.46
1541,148476.66
1542,147978.8
1543,219632.45
1544,78981.21
1545,100280.46
1546,132433.88
1547,134597.7
1548,134476.83
1549,113606.26
1550,144188.27
1551,110702.83
1552,124068.81
1553,157418.67
1554,114671.28
1555,171334.56
1556,81935.42
1557,122077.266
1558,93724.336
1559,90719.98
1560,132794.31
1561,150233.61
1562,129183.65
1563,121130.625
1564,154809.05
1565,149679.33
1566,234850.92
1567,69892.516
1568,230935.58
1569,143316.23
1570,128114.836
1571,125944.82
1572,149216.7
1573,252544.64
1574,110491.484
1575,224049.88
1576,242634.69
1577,204953.34
1578,152751.98
1579,151109.12
1580,189429.75
1581,157621.11
1582,126000.016
1583,325756.38
1584,240148.31
1585,142369.94
1586,70032.61
1587,99394.766
1588,158578.16
1589,93314.58
1590,134301.2
1591,96820.64
1592,114680.64
1593,128778.7
1594,139246.33
1595,114492.43
1596,248491.22
1597,191424.11
1598,202172.03
1599,174734.03
1600,176858.78
1601,67764.01
1602,115798.305
1603,79080.41
1604,270791.94
1605,248531.58
1606,169517.25
1607,169270.58
1608,225372.77
1609,195129.5
1610,158339.19
1611,141079.03
1612,158643.53
1613,161936.58
1614,128489.1
1615,86065.77
1616,74116.54
1617,86703.15
1618,128315.3
1619,142601.48
1620,159791.48
1621,138893.47
1622,139885.33
1623,285907.2
1624,225977.86
1625,123765.234
1626,167265.28
1627,188844.81
1628,277987.25
1629,179591.5
1630,386396.66
1631,218134.28
1632,246263.97
1633,168758.81
1634,188740.17
1635,176099.44
1636,154119.88
1637,180202.23
1638,199813.27
1639,178741.47
1640,256974.84
1641,179877.83
1642,228092.67
1643,218479.33
1644,221667.16
1645,184065.89
1646,159348.89
1647,160291.97
1648,131615.72
1649,138868.94
1650,114006.125
1651,121442.54
1652,96950.06
1653,95996.76
1654,150051.2
1655,138094.06
1656,147821.33
1657,154395.98
1658,152276.08
1659,132417.92
1660,153297.94
1661,466116.06
1662,388355.53
1663,367746.38
1664,373468.0
1665,313133.78
1666,320972.25
1667,376219.3
1668,326468.56
1669,301354.7
1670,337504.22
1671,264202.12
1672,493179.5
1673,304251.4
1674,253234.95
1675,186682.98
1676,193566.23
1677,218707.45
1678,468642.6
1679,424293.06
1680,332374.9
1681,268356.0
1682,306344.38
1683,178536.42
1684,172550.22
1685,172553.34
1686,170142.9
1687,166514.98
1688,178909.48
1689,189430.5
1690,188488.56
1691,180760.72
1692,279702.66
1693,168967.16
1694,182951.27
1695,165460.33
1696,286250.94
1697,173826.06
1698,369079.4
1699,323725.28
1700,246312.9
1701,265607.1
1702,247866.97
1703,247505.81
1704,284646.34
1705,225102.25
1706,460658.0
1707,227665.34
1708,223500.77
1709,272136.88
1710,217215.83
1711,259262.77
1712,227052.55
1713,269376.06
1714,220064.48
1715,209415.88
1716,189390.69
1717,173560.95
1718,138241.38
1719,200463.38
1720,246616.88
1721,168084.78
1722,126945.69
1723,157139.52
1724,216169.42
1725,236573.7
1726,193031.3
1727,165374.58
1728,170713.17
1729,165441.77
1730,163414.86
1731,122964.74
1732,130449.86
1733,118219.68
1734,121532.37
1735,134081.11
1736,118057.734
1737,334920.4
1738,211120.3
1739,287030.62
1740,226964.6
1741,199112.31
1742,173057.77
1743,169518.62
1744,290451.97
1745,236507.08
1746,206054.05
1747,208976.52
1748,222063.22
1749,151660.16
1750,128787.48
1751,236783.73
